name_of_satellite_alternate_names,country_of_operator_owner,operator_owner,users,purpose,class_of_orbit,type_of_orbit,date_of_launch,expected_lifetime (in years),comments,longitude_of_geo_degrees,perigee_km,apogee_km,eccentricity,inclination_degrees,period_minutes
"""Thaicom-4 (Ipstar 1, Measat 5)""",Thailand,Thaicom Public Company Ltd. ,Commercial,Communications,GEO,,2005-08-11,12,"""84 Ku-band and 18-Ka band transponders, voice, video and broadband to 14 countries. Deal signed with Measat in 2011 - capacity on Thaicom 4 to be marketed in Malaysia as Measat 5.""",119.5,"""35,775""","""35,798""",0.000273,0,1436.1
Thaicom-5,Thailand,Thaicom Public Company Ltd. ,Commercial,Communications,GEO,,2006-05-27,12,Television and Internet services to the Asia-Pacific region; 25 C-band and 14 Ku-band transponders.,78.54,"""35,777""","""35,796""",0.000225,0.04,1436.1
Thuraya 2 ,United Arab Emirates,Thuraya Satellite Communications,Commercial,Communications,GEO,,2003-06-10,12,"""Capacity for 13,750 simultaneous calls; voice, fax, data transmissions from/to mobile telephones; Middle East, North and Central Africa, Europe, Central Asia and the Indian subcontinent.""",44.13,"""35,764""","""35,807""",0.00051,2.99,1436.07
Thuraya 3,United Arab Emirates,Thuraya Satellite Communications,Commercial,Communications,GEO,,2008-01-15,12,"""Mobile phone communication in eastern Asia, Middle East, Australia.""",98.6,"""35,766""","""35,807""",0.000486,5.84,1436.1
"""Cute-1 (Cubical Titech Engineering satellite, Oscar 55, CO-55)""",Japan,Tokyo Institute of Technology,Civil,Technology Development,LEO,Sun-Synchronous,2003-06-30,1,Design development of pico satellite by using off-the-shelf components.,0,819,831,0.000834,98.7,101.4
Cute-1.7 + APD II (Cubical Titech Engineering satellite+Avalanche Photodiode),Japan,Tokyo Institute of Technology,Civil,Technology Development,LEO,Sun-Synchronous,2008-04-28,1,Will provide telemetry and a 9600-baud packet store-and-forward message relay.,0,616,635,0.00136,98,97.21
Resurs-DK1 (Resurs - High Resolution 1),Russia,TsSKB Progress (State Research & Production Space Rocket Center),Government/Commercial,Earth Observation,LEO,,2006-06-15,3,First non-military earth observation satellite for Russia.,0,360,690,0.0239,70.4,94
Turksat 3A,Turkey,Turksat,Commercial,Communications,GEO,,2008-06-12,,24 Ku-band transponders; television service to Turkey.,42.04,"""35,778""","""35,793""",0.000178,0.01,1436.06
X-37B Orbital Test Vehicle-2 (USA 226),USA,US Air Force,Military,Technology Development,LEO,,2011-03-05,0.5,Examine how highly complex technologies will perform in space before they are made operational. Capable of re-entry and landing.,0,321,337,0.00119,42.8,91.11
"""ORS-1 (Operationally Responsive Space One, USA 231)""",USA,U.S. Air Force/ DoD,Military,Reconnaissance,LEO,,2011-06-30,,Reconaissance for US Central Command in Afghanistan and Central Asia.,0,396,410,0.00103,40,92.62
"""UK-DMC-2 (BNSCSat-2, British National Science Center Satellite 2)""",United Kingdom,UK/DMC International Imaging (DMCII),Government,Earth Observation,LEO,Sun-Synchronous,2009-07-29,5,Part of Disaster Monitoring Constellation second generation; five countries share all data.,0,624,677,0.00377,98.12,97.74
"""RAX (Radio Aurora Explorer, USA 218)""",USA,University of Michigan/SRI International,Civil/Government,Scientific Research,LEO,Sun-Synchronous,2010-11-20,,"""Studies of the ionosphere, receiving radar signals from ground stations which can be used to measure activity in the ionosphere.""",0,623,654,0.00221,71.97,97.48
"""FAST 1 (Sara Lilly and Emma, USA 222)""",USA,University of Texas - Austin,Civil,Technology Development,LEO,Sun-Synchronous,2010-11-20,,Consists of two satellites that will be launched together -- Sara Lily and Emma.,0,627,654,0.00193,71.97,97.54
"""Prism (Pico-satellite for Remote-sensing and Innovative Space Missions, Hitomi)""",Japan,University of Tokyo,Civil,Earth Observation,LEO,Sun-Synchronous,2009-01-23,,Expandable refracting telescope; technology demonstration.,0,620,650,0.00214,98,97.3
CAN-X2 (Canadian Advanced Nanospace experiment),Canada,University of Toronto Institute for Aerospace Studies,Civil,Technology Development,LEO,Sun-Synchronous,2008-04-28,,Will downlink telemetry.,0,615,635,0.00143,97.99,97.21
CAN-X6 (Canadian Advanced Nanospace experiment; NTS [Nanosatellite Tracking Ships]),Canada,University of Toronto Institute for Aerospace Studies/Com Development International Ltd.,Civil/Commercial,Technology Development,LEO,Sun-Synchronous,2008-04-28,0.5,Technology development; carries innovative attitude sensor.,0,619,636,0.00121,98,97.26
XaTcobeo,Spain,University of Vigo,Civil,Technology Development,LEO,,2012-02-13,,"""Will test a software-defined reconfigurable radio, an ionizing radiation measurement system and a solar panel deployment system. """,0,313,"""1,396""",0.075,69.5,101.5
"""PAN-1 (Palladium at Night, P360, USA 207)""",USA,Unknown US agency,Military,Communications,GEO,,2009-09-08,,Thought to be a new generation military communications satellite. The operating agency was not announced; ppears to be related to the U. S. Navy̍s Ultra-High Frequency (UFO) Follow-On program constellation of geosynchronous communications spacecraft because of the monitored frequencies emanating from the spacecraft launched in earth orbit.,34.5,"""35,786""","""35,787""",0.0000119,0.03,1436.12
"""DSCS III-F6 (USA 82, DSCS III B-12) (Defense Satellite Communications System)""",USA,US Air Force,Military,Communications,GEO,,1992-07-02,10,"""Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.""",-12.09,"""35,718""","""35,855""",0.00162,0.05,1436.1
"""DSCS III-F8 (USA 97, DSCS III B-10) (Defense Satellite Communications System)""",USA,US Air Force,Military,Communications,GEO,,1993-11-28,10,"""Spare; Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band; in reserve.""",56.77,"""35,756""","""35,817""",0.000723,4.59,1436.11
"""Milstar DFS-1 (USA 99, Milstar 1-F1) (Military Strategic and Tactical Relay)""",USA,US Air Force,Military,Communications,GEO,,1994-02-07,10,"""Voice communication, data, imagery and video; survivable global military communication system. """"World's most secure, nuclear survivable, space-based communication system.""""""",-38.9,"""35,754""","""35,819""",0.000771,5.99,1436.13
"""DSCS III-F9 (USA 113, DSCS III B-7) (Defense Satellite Communications System)""",USA,US Air Force,Military,Communications,GEO,,1995-07-31,10,"""Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.""",-52.4,"""35,784""","""35,784""",0,0,1436.1
"""Milstar DFS-2 (USA 115, Milstar 1-F2) (Military Strategic and Tactical Relay)""",USA,US Air Force,Military,Communications,GEO,,1995-11-06,10,"""Voice communication, data, imagery and video; survivable global military communication system. """"World's most secure, nuclear survivable, space-based communication system.""""""",3.94,"""35,765""","""35,809""",0.000522,0.35,1436.13
"""DSCS III-F10 (USA 135, DSCS III B-13) (Defense Satellite Communications System)""",USA,US Air Force,Military,Communications,GEO,,1997-10-24,10,"""Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.""",-130.05,"""35,757""","""35,817""",0.000712,2.54,1436.1
"""DSCS III-F11 (USA 148, DSCS III B-8) (Defense Satellite Communications System)""",USA,US Air Force,Military,Communications,GEO,,2000-01-01,10,"""Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.""",-135.11,"""35,706""","""35,868""",0.00192,0.01,1436.13
"""DSCS III-F12 (USA 153, DSCS III B-11) (Defense Satellite Communications System)""",USA,US Air Force,Military,Communications,GEO,,2000-10-20,10,"""Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.""",-12.15,"""35,774""","""35,799""",0.000297,0.04,1436.12
"""Milstar DFS-4 (USA 157, Milstar 2-F2) (Military Strategic and Tactical Relay)""",USA,US Air Force,Military,Communications,GEO,,2001-02-27,12,"""Voice communication, data, imagery and video; survivable global military communication system. """"World's most secure, nuclear survivable, space-based communication system.""""""",-67.9,"""35,764""","""35,768""",0.0000475,4.5,1435.04
"""Milstar DFS-5 (USA 164, Milstar 2-F3) (Military Strategic and Tactical Relay)""",USA,US Air Force,Military,Communications,GEO,,2002-01-16,12 hrs.,"""Voice communication, data, imagery and video; survivable global military communication system. """"World's most secure, nuclear survivable, space-based communication system.""""""",3.92,"""35,753""","""35,820""",0.000795,3.45,1436.12
"""DSCS III-A3 (USA 167, DSCS III-A3) (Defense Satellite Communications System)""",USA,US Air Force,Military,Communications,GEO,,2003-03-11,10,"""Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band.""",60.01,"""35,771""","""35,802""",0.000368,0.03,1436.12
Milstar DFS-6 (USA 169) (Military Strategic and Tactical Relay),USA,US Air Force,Military,Communications,GEO,,2003-04-08,12,"""Voice communication, data, imagery and video; survivable global military communication system. """"World's most secure, nuclear survivable, space-based communication system.""""""",-89.98,"""35,768""","""35,806""",0.000451,0.82,1436.13
"""DSCS III-B6 (USA 170, DSCS III B-6) (Defense Satellite Communications System)""",USA,US Air Force,Military,Communications,GEO,,2003-08-29,10,"""Super High Frequency (SHF) for U.S. government and military; sophisticated survivability enhancement; worldwide, longhaul coverage; X-band. """,-52.51,"""35,760""","""35,814""",0.00064,0.05,1436.1
C/NOFS (Communication/Navigation Outage Forecasting System),USA,US Air Force,Military,Technology Development,LEO,,2008-04-16,,Designed to monitor and forecast global ionospheric scintillation in real-time.,0,406,853,0.0319,13,97.29
"""AEHF-1 Advanced Extremely High Frequency satellite-1, USA 214)""",USA,US Air Force,Military,Communications,GEO,,2010-08-14,14,"""Constellation of 3 plus 1; will replace the Milstar system. This satellite's main engine failed right after launch, stranding it in a transfer orbit. It may reach its GEO orbit by summer 2011.""",0,"""4,732""","""49,970""",0.671,15.07,1027.47
"""SBIRS GEO 1 (Space Based Infrared System Geosynchronous 1, USA 230)""",USA,US Air Force,Military,Early Warning,GEO,,2011-05-07,12,Uses infrared sensors to detect and track missile launches; equipped with both scanning and staring instruments.  Will eventually replace DSP system.,-96.84,"""35,778""","""35,795""",0.000202,6.45,1436.11
Falconsat-3,USA,US Air Force Academy,Civil/Military,Technology Development,LEO,,2007-03-09,,Air Force Academy̍s first attempt at achieving three axis attitude determination and control (ADCS). FalconSAT-3 will carry three payloads to conduct DoD research. When primary mission completed amateur radio payload will be activated.,0,554,563,0.000649,35.4,95.83
Falconsat 5 (USA 221),USA,US Air Force Academy,Civil,Technology Development,LEO,Sun-Synchronous,2010-11-20,,Carries four technology experiments.,0,650,650,0,72,97.73
Coriolis (Windsat),USA,US Air Force/ US Navy/NASA,Military,Earth and Space Science,LEO,Sun-Synchronous,2003-01-06,3,Monitor ocean winds and image Solar Mass Ejections (SME).,0,391,846,0.0326,98.7,97.07
MTI (Multispectral Thermal Imager),USA,US Department of Energy/Office of Nonproliferation and National Security,Government/Military,Technology Development,LEO,Sun-Synchronous,2000-03-12,3,"""Primary objective is to demonstrate advanced multispectral and thermal imaging, image processing, and associated technologies that could be used in future systems for detecting and characterizing facilities producing weapons of mass destruction.""",,573,613,0,97.4,96.54
"""Leasat 5 (Syncom IV-5, Leased Satellite F5)""",USA/Australia,US DoD/Royal Australian Navy/Panamsat (owner),Military,Communications,GEO,,1990-01-09,10,Ultra High Frequency (UHF) satellite communications services for U.S. DoD and Australian Defense Forces.,100.08,"""35,760""","""35,812""",0.000617,7.97,1436.1
"""PCSat (Prototype Communications SATellite, Navy-Oscar 44, NO-44)""",USA,US Naval Academy,Government,Technology Development/Communications,LEO,Intermediate,2001-09-30,5,Built by midshipmen to learn technology and operation; will be part of Amateur Radio Reporting System (APRS); only operates fully for a few weeks a year (when in full sun).,0,790,801,0.000768,67,100.77
FLTSATCOM-8 (USA 46),USA,US Navy,Military,Communications,GEO,,1989-09-25,5,Old system replaced by UFO satellites; this satellite still operational as of 2009.,-14.74,"""35,745""","""35,829""",0.000996,8.97,"""1,436.13"""
"""UFO-2 (USA 95) """"UHF Follow-On""""""",USA,US Navy,Military,Communications,GEO,,1993-09-03,,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application. Inclined.,28.79,"""35,766""","""35,807""",0.000486,8.27,1436.12
"""UFO-4 (USA 108, UFO F4 EHF) """"UHF Follow-On""""""",USA,US Navy,Military,Communications,GEO,,1995-01-29,4,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,-177.12,"""35,763""","""35,775""",0.000142,3.34,1435.22
"""UFO-6 (USA 114, UFO F6 EHF) """"UHF Follow-On""""""",USA,US Navy,Military,Communications,GEO,,1995-10-22,4,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,-105.5,"""35,744""","""35,829""",0.00101,4.11,1436.12
"""UFO-7 (USA 127, F7 EHF) """"UHF Follow-On""""""",USA,US Navy,Military,Communications,GEO,,1996-07-25,4,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,-21.91,"""35,738""","""35,835""",0.00115,3.79,1436.11
"""UFO-8 (USA 138, UHF F/O F8) """"UHF Follow-On""""""",USA,US Navy,Military,Communications,GEO,,1998-03-16,4,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,172.28,"""35,772""","""35,794""",0.000261,5.24,1435.94
"""UFO-10 (USA 146, UHF F/O F10) """"UHF Follow-On""""""",USA,US Navy,Military,Communications,GEO,,1999-11-24,4,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,72.67,"""35,738""","""35,834""",0.00114,1.97,1436.1
"""UFO-11  (USA 174) """"UHF Follow-On""""""",USA,US Navy,Military,Communications,GEO,,2003-12-18,4,Ultra-High Frequency (UHF) communications and Super-High Frequency (SHF) antijam command and broadcast capabilities through four pairs of geosynchronous satellites and one spare; tactical application.,71.44,"""35,786""","""35,787""",0.0000119,2.16,1436.1
STPSAT 2 (USA 217),USA,USAF Space Test Program,Military,Technology Development,LEO,Sun-Synchronous,2010-11-20,1,Two top-priority investigations from the miltary's Space Experiment Review Board.,0,650,650,0,72,97.73
Vinasat 1,Vietnam,Vietnamese Posts and Telecommunications Group (VNPT),Government,Communications,GEO,,2008-04-18,15,"""Provide voice, video and internet service; Asia, India, Australia, Japan, Hawaii. 12 Ku-band, 8 C-band transponders.""",131.97,"""35,782""","""35,791""",0.000107,0.02,1436.1
PW-Sat,Poland,Warsaw University of Technology,Civil,Technology Development,LEO,,2012-02-13,,Primary mission is to test a deployable drag device to speed re-entry.,0,310,"""1,441""",0.078,69.4,102.1
WildBlue 1,USA,WildBlue Communications,Commercial,Communications,GEO,,2006-12-08,12,Totally dedicated to broadband internet services; total CONUS coverage.,-111.09,"""35,776""","""35,796""",0.000237,0.01,1436.1
XM Rock (XM 2),USA,XM Satellite Radio USA,Commercial,Communications,GEO,,2001-03-18,15,100 channels of digital music uplinked in the X-band from one or more ground stations.,-85.23,"""35,784""","""35,789""",0.0000593,0.08,1436.13
XM Roll (XM 1),USA,XM Satellite Radio USA,Commercial,Communications,GEO,,2001-05-08,15,100 channels of digital music uplinked in the X-band from one or more ground stations.,-85.16,"""35,785""","""35,788""",0.0000356,0.09,1436.11
XM Radio 3 (Rhythm),USA,XM Satellite Radio USA,Commercial,Communications,GEO,,2005-03-01,15,130 channels of digital music uplinked in the X-band from one or more ground stations.,-85.04,"""35,782""","""35,790""",0.0000949,0.01,1436.1
XM Radio 4 (Blues),USA,XM Satellite Radio USA,Commercial,Communications,GEO,,2006-10-30,15,S-band Digital Audio Radio Service (DARS) to homes and automobiles in Noth America.,-114.96,"""35,784""","""35,787""",0.0000356,0.01,1436.09
"""Zheda Pixing 1B (ZP-1B, Zhejiang University-1B)""",China (PR),Zhejiang University,Civil,Scientific Research,LEO,Sun-Synchronous,2010-09-22,,Picosat for scientific research - MEMS.,0,624,655,0.00221,98.03,97.51
"""Zheda Pixing 1C (ZP-1C, Zhejiang Univeristy-1B""",China (PR),Zhejiang University,Civil,Scientific Research,LEO,Sun-Synchronous,2010-09-22,,Picosat for scientific research - MEMS.,0,624,655,0.00221,98.03,97.51
